Epoch 20/40, Average Loss: 0.00126943724398835, Current Learning Rate: 6e-05
Epoch 21/40, Average Loss: 0.0012984251937589399, Current Learning Rate: 5.714285714285714e-05
Epoch 22/40, Average Loss: 0.001237968742111267, Current Learning Rate: 5.4285714285714295e-05
Epoch 23/40, Average Loss: 0.0011929438280314925, Current Learning Rate: 5.142857142857143e-05
Epoch 24/40, Average Loss: 0.0011098460191237222, Current Learning Rate: 4.8571428571428576e-05
Epoch 25/40, Average Loss: 0.001158563285592319, Current Learning Rate: 4.571428571428572e-05
Epoch 26/40, Average Loss: 0.0010703687515376255, Current Learning Rate: 4.285714285714286e-05
Epoch 27/40, Average Loss: 0.0010162790738039889, Current Learning Rate: 4e-05
Epoch 28/40, Average Loss: 0.0009680504564990815, Current Learning Rate: 3.7142857142857143e-05
Epoch 29/40, Average Loss: 0.000990201478143472, Current Learning Rate: 3.428571428571429e-05
Epoch 30/40, Average Loss: 0.0010005536591584808, Current Learning Rate: 3.142857142857143e-05
Epoch 31/40, Average Loss: 0.0008900835423735697, Current Learning Rate: 2.857142857142857e-05
Epoch 32/40, Average Loss: 0.0008882410453182963, Current Learning Rate: 2.5714285714285714e-05
Epoch 33/40, Average Loss: 0.0008501488244253425, Current Learning Rate: 2.2857142857142855e-05
Epoch 34/40, Average Loss: 0.0008564932294941807, Current Learning Rate: 1.9999999999999995e-05
Epoch 35/40, Average Loss: 0.0008095953785563121, Current Learning Rate: 1.714285714285714e-05
Epoch 36/40, Average Loss: 0.0008214697494577106, Current Learning Rate: 1.428571428571429e-05
Epoch 37/40, Average Loss: 0.0007739795846523635, Current Learning Rate: 1.1428571428571432e-05
Epoch 38/40, Average Loss: 0.0007475716109723588, Current Learning Rate: 8.571428571428574e-06
Epoch 39/30, Average Loss: 0.0007567233843126597, Current Learning Rate: 8e-06
Epoch 40/30, Average Loss: 0.0007441308677828472, Current Learning Rate: 8e-06
Epoch 41/30, Average Loss: 0.0006983061979287016, Current Learning Rate: 7.724137931034483e-06
Epoch 42/30, Average Loss: 0.0007721920918035465, Current Learning Rate: 7.448275862068965e-06
Epoch 43/30, Average Loss: 0.0007127534570469086, Current Learning Rate: 7.172413793103448e-06
Epoch 44/30, Average Loss: 0.0007245318806693354, Current Learning Rate: 6.89655172413793e-06
Epoch 45/30, Average Loss: 0.0007119522935162033, Current Learning Rate: 6.620689655172414e-06
Epoch 46/30, Average Loss: 0.0007203405067409141, Current Learning Rate: 6.344827586206897e-06
Epoch 47/30, Average Loss: 0.0006781635599709332, Current Learning Rate: 6.068965517241379e-06
Epoch 48/30, Average Loss: 0.0007159214244149068, Current Learning Rate: 5.793103448275862e-06
Epoch 49/30, Average Loss: 0.0007069780557646963, Current Learning Rate: 5.517241379310345e-06
Epoch 50/30, Average Loss: 0.0006935855821927949, Current Learning Rate: 5.241379310344827e-06
Epoch 51/30, Average Loss: 0.0006831944959733049, Current Learning Rate: 4.96551724137931e-06
Epoch 52/30, Average Loss: 0.0006890066285369536, Current Learning Rate: 4.689655172413793e-06
Epoch 53/30, Average Loss: 0.0006748634817482792, Current Learning Rate: 4.413793103448275e-06
Epoch 54/30, Average Loss: 0.0007261087767418895, Current Learning Rate: 4.1379310344827575e-06
Epoch 55/30, Average Loss: 0.0007077057657502214, Current Learning Rate: 3.862068965517241e-06
Epoch 56/30, Average Loss: 0.0006861870226701524, Current Learning Rate: 3.586206896551724e-06
Epoch 57/30, Average Loss: 0.000687655339458675, Current Learning Rate: 3.3103448275862073e-06
Epoch 58/30, Average Loss: 0.0006715582155150139, Current Learning Rate: 3.0344827586206895e-06
Epoch 59/30, Average Loss: 0.000650970229647989, Current Learning Rate: 2.7586206896551725e-06
Epoch 60/30, Average Loss: 0.0006815746543896618, Current Learning Rate: 2.4827586206896547e-06
Epoch 61/30, Average Loss: 0.0006599557192944005, Current Learning Rate: 2.2068965517241377e-06
Epoch 62/30, Average Loss: 0.0006279810898949421, Current Learning Rate: 1.931034482758621e-06
Epoch 25/30, Average Loss: 0.0006580248754988442, Current Learning Rate: 1.655172413793103e-06
